study_id,site_id,core_id,core_count,habitat,management,accumulation_type,depth_min_cm,depth_max_cm,marker_rate,marker_rate_se,marker_rate_unit,SET_rate,SET_rate_unit,latitude,longitude,country,admin_division,climate_zone,inventory_year,ecosystem,horizon_min,horizon_max,pb210_CAR,pb210_CAR_unit,cs137_CAR,cs137_CAR_unit,PublicationID,First_Author,Year,Publication_Type,Source,CCAP_Class,salinity_class,Stature,Activity,Activity_Time,DOC,Salinity_in_Water,Unit_Source,CalculationMethod
Baustian_et_al_2021,Barataria basin,3565,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.502086231,-90.101363529,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,402,gramsPerSquareMeterPerYear,332.1,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,3617,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.546413761,-89.914393761,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,374.4,gramsPerSquareMeterPerYear,295.2,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Barataria basin,4245,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.673613704,-90.132848578,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,638.1,gramsPerSquareMeterPerYear,903.6,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,305,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.389609722,-91.196037334,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,153.1,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,309,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.252104186,-91.194617808,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,356.8,gramsPerSquareMeterPerYear,176.2,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,337,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.310924599,-90.354254056,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,208.5,gramsPerSquareMeterPerYear,276.5,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,377,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.231801672,-91.010076699,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,61.5,gramsPerSquareMeterPerYear,136.7,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,398,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.388554091,-90.917009367,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,431.1,gramsPerSquareMeterPerYear,485,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,399,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.302319496,-91.105471945,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,396.4,gramsPerSquareMeterPerYear,383.7,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4045,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.377728716,-91.010822388,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,298.1,gramsPerSquareMeterPerYear,453.1,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Terrebonne basin,4455,1,marsh,natural,total carbon,NA,NA,NA,NA,NA,NA,NA,29.257987426,-90.946233452,United States,Louisiana,Subtropical,nggi_2022,Estuarine Emergent Wetland,0,100,343.7,gramsPerSquareMeterPerYear,348.1,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bianchi_2013,NA,NA,NA,marsh,natural,NA,NA,NA,NA,NA,NA,NA,NA,27.93,-97.02,United States,Texas,Subtropical,nggi_2017,Estuarine Emergent Wetland,NA,NA,NA,NA,101,gramsPerSquareMeterPerYear,2,Bianchi,2013,1,1,Palustrine Emergent Wetlan,polyhaline,herb,NA,NA,NA,NA,NA,NA
Bianchi_2013,NA,NA,NA,marsh,natural,NA,NA,NA,NA,NA,NA,NA,NA,27.93,-97.02,United States,Texas,Subtropical,nggi_2017,Estuarine Emergent Wetland,NA,NA,125,gramsPerSquareMeterPerYear,NA,NA,2,Bianchi,2013,1,1,Palustrine Emergent Wetlan,polyhaline,herb,NA,NA,NA,NA,NA,NA
Bianchi_2013,NA,NA,NA,mangrove,natural,NA,NA,NA,NA,NA,NA,NA,NA,27.93,-97.02,United States,Texas,Subtropical,nggi_2017,Estuarine Forested Wetland,NA,NA,NA,NA,270,gramsPerSquareMeterPerYear,2,Bianchi,2013,1,1,Palustrine Forested Wetlan,polyhaline,tree,NA,NA,NA,NA,NA,NA
Bianchi_2013,NA,NA,NA,mangrove,natural,NA,NA,NA,NA,NA,NA,NA,NA,27.93,-97.02,United States,Texas,Subtropical,nggi_2017,Estuarine Forested Wetland,NA,NA,253,gramsPerSquareMeterPerYear,NA,NA,2,Bianchi,2013,1,1,Palustrine Forested Wetlan,polyhaline,tree,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.375811,-75.651786,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,78,266.9037149737237,gramsPerSquareMeterPerYear,129.00346223729977,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC2,1,marsh,natural,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.378697,-75.643872,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,102,379.8831742016242,gramsPerSquareMeterPerYear,105.52310394489562,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD1,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.666314,-75.567868,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,50,167.31026119368937,gramsPerSquareMeterPerYear,212.94033242833194,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD2,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.66571,-75.559982,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,70,115.5006724432445,gramsPerSquareMeterPerYear,271.17549182326974,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Broad_Dyke_Marsh,NCBD3,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.667368,-75.564615,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,50,188.80572252920376,gramsPerSquareMeterPerYear,291.0754888991891,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Buttonwood_Marsh,NCBW1,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.676677,-75.554368,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,66,140.69288547005328,gramsPerSquareMeterPerYear,151.51541512159588,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Buttonwood_Marsh,NCBW3,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.674905,-75.552347,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,50,NA,NA,135.2240459908138,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Gambacorta_Marsh,NCGB2,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.656914,-75.570169,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,70,NA,NA,102.70991503698569,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Gambacorta_Marsh,NCGB3,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.657391,-75.575393,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,70,196.05319979912542,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC1,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.145008,-75.423547,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,182.2635062385261,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC2,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.151014,-75.414794,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,106.43939467801593,gramsPerSquareMeterPerYear,93.13447034326394,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Little_Creek_Marsh,LC3,1,marsh,impounded,sediment accretion,NA,NA,NA,NA,NA,NA,NA,39.157496,-75.426916,United States,Delaware,Warm Temperate,nggi_2022,Estuarine Emergent Wetland,0,42,130.08527026093316,gramsPerSquareMeterPerYear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
