territory,habitat,mid,lowerCI,upperCI,variable
Iceland,marsh,NA,NA,NA,Total Stock (MgC)
Iceland,seagrass,54000,NA,NA,Total Stock (MgC)
Djibouti,mangrove,205931.0290929743,171749.23681673614,240112.82136921244,Total Stock (MgC)
Djibouti,marsh,0,NA,NA,Total Stock (MgC)
Djibouti,seagrass,NA,NA,NA,Total Stock (MgC)
Congo,mangrove,136491.01478218724,113835.33469644708,159146.6948679274,Total Stock (MgC)
Congo,marsh,51938.98435372925,37916.71778328626,65961.25092417223,Total Stock (MgC)
Congo,seagrass,NA,NA,NA,Total Stock (MgC)
French Southern Territories,mangrove,220346.29825341332,183771.764396567,256920.83211025962,Total Stock (MgC)
French Southern Territories,marsh,0,NA,NA,Total Stock (MgC)
French Southern Territories,seagrass,NA,NA,NA,Total Stock (MgC)
Singapore,mangrove,190248.46347665897,NA,NA,Total Stock (MgC)
Singapore,marsh,0,NA,NA,Total Stock (MgC)
Singapore,seagrass,3639.6000000000004,NA,NA,Total Stock (MgC)
Bosnia and Herzegovina,mangrove,0,NA,NA,Total Stock (MgC)
Bosnia and Herzegovina,marsh,162256.37348438113,118451.08637564335,206061.6605931189,Total Stock (MgC)
Bosnia and Herzegovina,seagrass,NA,NA,NA,Total Stock (MgC)
Belgium,mangrove,0,NA,NA,Total Stock (MgC)
Belgium,marsh,173549.98444797966,126695.69618057588,220404.27271538344,Total Stock (MgC)
Belgium,seagrass,NA,NA,NA,Total Stock (MgC)
Northern Mariana Islands,mangrove,10478.355340184207,8739.088716730974,12217.62196363744,Total Stock (MgC)
Northern Mariana Islands,marsh,0,NA,NA,Total Stock (MgC)
Northern Mariana Islands,seagrass,72360,NA,NA,Total Stock (MgC)
Falkland Islands,mangrove,0,NA,NA,Total Stock (MgC)
Falkland Islands,marsh,707865.9167840687,NA,NA,Total Stock (MgC)
Falkland Islands,seagrass,NA,NA,NA,Total Stock (MgC)
Saint Lucia,mangrove,53716.04864991526,44799.90412842727,62632.193171403254,Total Stock (MgC)
Saint Lucia,marsh,0,NA,NA,Total Stock (MgC)
Saint Lucia,seagrass,71820,NA,NA,Total Stock (MgC)
Curacao,mangrove,30282.33850197686,25255.875958316334,35308.80104563739,Total Stock (MgC)
Curacao,marsh,0,NA,NA,Total Stock (MgC)
Curacao,seagrass,86400,NA,NA,Total Stock (MgC)
Grenada,mangrove,81149.91606248301,67680.11704142528,94619.71508354074,Total Stock (MgC)
Grenada,marsh,0,NA,NA,Total Stock (MgC)
Grenada,seagrass,76572,NA,NA,Total Stock (MgC)
Seychelles,mangrove,420655.3399757285,350832.18843672983,490478.4915147271,Total Stock (MgC)
Seychelles,marsh,0,NA,NA,Total Stock (MgC)
Seychelles,seagrass,NA,NA,NA,Total Stock (MgC)
Montserrat,mangrove,NA,NA,NA,Total Stock (MgC)
Montserrat,marsh,NA,NA,NA,Total Stock (MgC)
Montserrat,seagrass,141156,NA,NA,Total Stock (MgC)
Anguilla,mangrove,1916.0220079833985,1597.9880207690662,2234.0559951977307,Total Stock (MgC)
Anguilla,marsh,0,NA,NA,Total Stock (MgC)
Anguilla,seagrass,147960,NA,NA,Total Stock (MgC)
Libya,mangrove,0,NA,NA,Total Stock (MgC)
Libya,marsh,59137.84015335693,43172.057045565416,75103.62326114844,Total Stock (MgC)
Libya,seagrass,124740,NA,NA,Total Stock (MgC)
Bermuda,mangrove,NA,NA,NA,Total Stock (MgC)
Bermuda,marsh,NA,NA,NA,Total Stock (MgC)
Bermuda,seagrass,175500,NA,NA,Total Stock (MgC)
Palestinian Territory,mangrove,NA,NA,NA,Total Stock (MgC)
Palestinian Territory,marsh,NA,NA,NA,Total Stock (MgC)
Palestinian Territory,seagrass,188460,NA,NA,Total Stock (MgC)
Comoros,mangrove,42060.65524953321,35079.149902454556,49042.16059661186,Total Stock (MgC)
Comoros,marsh,3845.7038101501466,2807.4570163808385,4883.950603919455,Total Stock (MgC)
Comoros,seagrass,230148,NA,NA,Total Stock (MgC)
Côte d'Ivoire,mangrove,767843.8282103974,640392.0383947424,895295.6180260524,Total Stock (MgC)
Côte d'Ivoire,marsh,76618.15416217042,55933.11006349601,97303.19826084483,Total Stock (MgC)
Côte d'Ivoire,seagrass,NA,NA,NA,Total Stock (MgC)
Bulgaria,mangrove,0,NA,NA,Total Stock (MgC)
Bulgaria,marsh,539866.6461283021,394115.7401624537,685617.5520941506,Total Stock (MgC)
Bulgaria,seagrass,31860,NA,NA,Total Stock (MgC)
Wallis and Futuna,mangrove,6778.934815516478,5653.722443496877,7904.147187536079,Total Stock (MgC)
Wallis and Futuna,marsh,0,NA,NA,Total Stock (MgC)
Wallis and Futuna,seagrass,262440,NA,NA,Total Stock (MgC)
Somalia,mangrove,952570.9495009583,794456.9320668972,1110684.9669350195,Total Stock (MgC)
Somalia,marsh,8129.201784197997,5934.514386257753,10323.88918213824,Total Stock (MgC)
Somalia,seagrass,NA,NA,NA,Total Stock (MgC)
Sint Maarten,mangrove,22.82458524308747,19.03600983992049,26.61316064625445,Total Stock (MgC)
Sint Maarten,marsh,0,NA,NA,Total Stock (MgC)
Sint Maarten,seagrass,295272,NA,NA,Total Stock (MgC)
French Polynesia,mangrove,640.3008169067384,534.0194584625464,746.5821753509305,Total Stock (MgC)
French Polynesia,marsh,0,NA,NA,Total Stock (MgC)
French Polynesia,seagrass,309960,NA,NA,Total Stock (MgC)
Montenegro,mangrove,0,NA,NA,Total Stock (MgC)
Montenegro,marsh,735881.6215900513,537211.4244227348,934551.8187573679,Total Stock (MgC)
Montenegro,seagrass,NA,NA,NA,Total Stock (MgC)
Mauritius,mangrove,8713.261849878121,7266.977101470745,10159.546598285498,Total Stock (MgC)
Mauritius,marsh,0,NA,NA,Total Stock (MgC)
Mauritius,seagrass,324000,NA,NA,Total Stock (MgC)
Mauritania,mangrove,10259.82894158835,8556.834773027309,11962.823110149391,Total Stock (MgC)
Mauritania,marsh,794305.5000942993,579862.272155215,1008748.7280333836,Total Stock (MgC)
Mauritania,seagrass,NA,NA,NA,Total Stock (MgC)
Finland,mangrove,0,NA,NA,Total Stock (MgC)
Finland,marsh,234368.9785083099,171095.03633600826,297642.92068061157,Total Stock (MgC)
Finland,seagrass,324000,NA,NA,Total Stock (MgC)
British Virgin Islands,mangrove,29880.98568074837,24921.142329082075,34840.829032414666,Total Stock (MgC)
British Virgin Islands,marsh,0,NA,NA,Total Stock (MgC)
British Virgin Islands,seagrass,431028,NA,NA,Total Stock (MgC)
Lithuania,mangrove,0,NA,NA,Total Stock (MgC)
Lithuania,marsh,1070937.5292866146,781810.3601129595,1360064.6984602697,Total Stock (MgC)
Lithuania,seagrass,NA,NA,NA,Total Stock (MgC)
Morocco,mangrove,0,NA,NA,Total Stock (MgC)
Morocco,marsh,1175483.987715265,858131.8093828196,1492836.1660477105,Total Stock (MgC)
Morocco,seagrass,NA,NA,NA,Total Stock (MgC)
Kuwait,mangrove,0,NA,NA,Total Stock (MgC)
Kuwait,marsh,25576.994256713864,18671.825894241254,32482.162619186474,Total Stock (MgC)
Kuwait,seagrass,540000,NA,NA,Total Stock (MgC)
Martinique,mangrove,415386.0293251838,346437.5127690199,484334.5458813477,Total Stock (MgC)
Martinique,marsh,0,NA,NA,Total Stock (MgC)
Martinique,seagrass,442800,NA,NA,Total Stock (MgC)
Peru,mangrove,1602782.209297077,1336741.8326547216,1868822.5859394325,Total Stock (MgC)
Peru,marsh,288226.21015738527,210412.12115074892,366040.2991640216,Total Stock (MgC)
Peru,seagrass,NA,NA,NA,Total Stock (MgC)
Timor-Leste,mangrove,391242.1535748483,326301.19697347237,456183.11017622426,Total Stock (MgC)
Timor-Leste,marsh,8694.643150817872,6347.300292410771,11041.986009224973,Total Stock (MgC)
Timor-Leste,seagrass,460728,NA,NA,Total Stock (MgC)
Eritrea,mangrove,2121567.2874740814,1769415.5372501751,2473719.0376979876,Total Stock (MgC)
Eritrea,marsh,0,NA,NA,Total Stock (MgC)
Eritrea,seagrass,33804,NA,NA,Total Stock (MgC)
Saint Kitts and Nevis,mangrove,20036.050199942314,16710.3342600608,23361.766139823827,Total Stock (MgC)
Saint Kitts and Nevis,marsh,0,NA,NA,Total Stock (MgC)
Saint Kitts and Nevis,seagrass,652536,NA,NA,Total Stock (MgC)
Trinidad and Tobago,mangrove,2441042.24714229,2035861.9331466367,2846222.5611379435,Total Stock (MgC)
Trinidad and Tobago,marsh,17645.395434906008,12881.56646120055,22409.224408611466,Total Stock (MgC)
Trinidad and Tobago,seagrass,12096,NA,NA,Total Stock (MgC)
Georgia,mangrove,0,NA,NA,Total Stock (MgC)
Georgia,marsh,1763760.2116571832,1287587.7149875942,2239932.7083267723,Total Stock (MgC)
Georgia,seagrass,NA,NA,NA,Total Stock (MgC)
Algeria,mangrove,0,NA,NA,Total Stock (MgC)
Algeria,marsh,738744.2275860534,539301.1962006337,938187.2589714732,Total Stock (MgC)
Algeria,seagrass,438048,NA,NA,Total Stock (MgC)
Malta,mangrove,NA,NA,NA,Total Stock (MgC)
Malta,marsh,NA,NA,NA,Total Stock (MgC)
Malta,seagrass,762048,NA,NA,Total Stock (MgC)
Norway,mangrove,0,NA,NA,Total Stock (MgC)
Norway,marsh,141621.6425503357,103387.23252683255,179856.05257383885,Total Stock (MgC)
Norway,seagrass,716796.0000000001,NA,NA,Total Stock (MgC)
Cyprus,mangrove,0,NA,NA,Total Stock (MgC)
Cyprus,marsh,82874.15131567384,60500.13965550611,105248.16297584157,Total Stock (MgC)
Cyprus,seagrass,756432,NA,NA,Total Stock (MgC)
Liberia,mangrove,3012849.4136627126,2512756.76967894,3512942.057646485,Total Stock (MgC)
Liberia,marsh,14726.005236419678,10750.340838815997,18701.66963402336,Total Stock (MgC)
Liberia,seagrass,NA,NA,NA,Total Stock (MgC)
US Virgin Islands,mangrove,71785.42798550778,59870.008543041666,83700.84742797389,Total Stock (MgC)
US Virgin Islands,marsh,0,NA,NA,Total Stock (MgC)
US Virgin Islands,seagrass,908172,NA,NA,Total Stock (MgC)
North Korea,mangrove,0,NA,NA,Total Stock (MgC)
North Korea,marsh,2246977.459011426,1640348.020640967,2853606.8973818854,Total Stock (MgC)
North Korea,seagrass,NA,NA,NA,Total Stock (MgC)
Barbados,mangrove,13469.479183520509,11233.726069732376,15705.232297308641,Total Stock (MgC)
Barbados,marsh,0,NA,NA,Total Stock (MgC)
Barbados,seagrass,973836,NA,NA,Total Stock (MgC)
Brunei,mangrove,4206294.719253867,3508106.141362288,4904483.297145446,Total Stock (MgC)
Brunei,marsh,9773.26358706665,7134.719360869962,12411.80781326334,Total Stock (MgC)
Brunei,seagrass,NA,NA,NA,Total Stock (MgC)
Guadeloupe,mangrove,970001.188543479,NA,NA,Total Stock (MgC)
Guadeloupe,marsh,0,NA,NA,Total Stock (MgC)
Guadeloupe,seagrass,885600,NA,NA,Total Stock (MgC)
Equatorial Guinea,mangrove,4892057.976747476,4080041.8842673106,5704074.0692276405,Total Stock (MgC)
Equatorial Guinea,marsh,6908.5946594238285,5043.44159285979,8773.747725987867,Total Stock (MgC)
Equatorial Guinea,seagrass,NA,NA,NA,Total Stock (MgC)
Albania,mangrove,0,NA,NA,Total Stock (MgC)
Albania,marsh,2190568.7268944588,1599168.2786262678,2781969.1751626497,Total Stock (MgC)
Albania,seagrass,475848,NA,NA,Total Stock (MgC)
Palau,mangrove,2510386.9635567507,1654912.471146701,3365861.4559668005,Total Stock (MgC)
Palau,marsh,0,NA,NA,Total Stock (MgC)
Palau,seagrass,863784,NA,NA,Total Stock (MgC)
Cayman Islands,mangrove,2912455.3687311164,2429026.7913755635,3395883.9460866693,Total Stock (MgC)
Cayman Islands,marsh,17318.696795861815,12643.068534239585,21994.325057484046,Total Stock (MgC)
Cayman Islands,seagrass,690120,NA,NA,Total Stock (MgC)
Micronesia,mangrove,4185142.516535896,3529551.272609845,4840733.760461947,Total Stock (MgC)
Micronesia,marsh,0,NA,NA,Total Stock (MgC)
Micronesia,seagrass,525852,NA,NA,Total Stock (MgC)
Sweden,mangrove,0,NA,NA,Total Stock (MgC)
Sweden,marsh,3392324.1073032287,2476478.841597133,4308169.373009324,Total Stock (MgC)
Sweden,seagrass,197100,NA,NA,Total Stock (MgC)
Ireland,mangrove,0,NA,NA,Total Stock (MgC)
Ireland,marsh,1660666.5734518664,NA,NA,Total Stock (MgC)
Ireland,seagrass,184680,NA,NA,Total Stock (MgC)
Latvia,mangrove,0,NA,NA,Total Stock (MgC)
Latvia,marsh,4433475.217056016,3236544.3933105497,5630406.040801483,Total Stock (MgC)
Latvia,seagrass,NA,NA,NA,Total Stock (MgC)
Poland,mangrove,0,NA,NA,Total Stock (MgC)
Poland,marsh,4520305.718385573,3299932.7643936602,5740678.672377485,Total Stock (MgC)
Poland,seagrass,28620,NA,NA,Total Stock (MgC)
Portugal,mangrove,0,NA,NA,Total Stock (MgC)
Portugal,marsh,1289023.2274806444,NA,NA,Total Stock (MgC)
Portugal,seagrass,182628,NA,NA,Total Stock (MgC)
Togo,mangrove,55618.362479089345,46386.45934444119,64850.2656137375,Total Stock (MgC)
Togo,marsh,144748.316787323,105669.78052270241,183826.85305194362,Total Stock (MgC)
Togo,seagrass,2040012,NA,NA,Total Stock (MgC)
Netherlands,mangrove,0,NA,NA,Total Stock (MgC)
Netherlands,marsh,2053728.3693635897,NA,NA,Total Stock (MgC)
Netherlands,seagrass,29808,NA,NA,Total Stock (MgC)
Democratic Republic of the Congo,mangrove,10895786.365399579,NA,NA,Total Stock (MgC)
Democratic Republic of the Congo,marsh,64771.409371087655,47284.699154362606,82258.1195878127,Total Stock (MgC)
Democratic Republic of the Congo,seagrass,NA,NA,NA,Total Stock (MgC)
Guyana,mangrove,7858921.860523009,6554446.106020263,9163397.615025755,Total Stock (MgC)
Guyana,marsh,953826.2979394044,696316.3219930844,1211336.2738857244,Total Stock (MgC)
Guyana,seagrass,NA,NA,NA,Total Stock (MgC)
Antigua and Barbuda,mangrove,355846.1568080724,296780.4615222027,414911.8520939421,Total Stock (MgC)
Antigua and Barbuda,marsh,11125.228667907713,8121.686646829758,14128.770688985669,Total Stock (MgC)
Antigua and Barbuda,seagrass,2710908,NA,NA,Total Stock (MgC)
South Korea,mangrove,0,NA,NA,Total Stock (MgC)
South Korea,marsh,4933498.68710038,3601573.648976584,6265423.7252241755,Total Stock (MgC)
South Korea,seagrass,756000,NA,NA,Total Stock (MgC)
Turkey,mangrove,0,NA,NA,Total Stock (MgC)
Turkey,marsh,6901712.560155263,5038417.493544609,8765007.626765918,Total Stock (MgC)
Turkey,seagrass,24948,NA,NA,Total Stock (MgC)
Kiribati,mangrove,6879.860667243652,5737.895955791593,8021.82537869571,Total Stock (MgC)
Kiribati,marsh,0,NA,NA,Total Stock (MgC)
Kiribati,seagrass,3000888,NA,NA,Total Stock (MgC)
Uruguay,mangrove,0,NA,NA,Total Stock (MgC)
Uruguay,marsh,7861672.2330633225,5739211.327961921,9984133.138164725,Total Stock (MgC)
Uruguay,seagrass,NA,NA,NA,Total Stock (MgC)
El Salvador,mangrove,9327580.437270217,7318595.175320731,11336565.699219704,Total Stock (MgC)
El Salvador,marsh,100790.9912996521,73579.86721841188,128002.11538089233,Total Stock (MgC)
El Salvador,seagrass,NA,NA,NA,Total Stock (MgC)
Croatia,mangrove,0,NA,NA,Total Stock (MgC)
Croatia,marsh,1386149.7728849975,1011922.9399231231,1760376.605846872,Total Stock (MgC)
Croatia,seagrass,3236328,NA,NA,Total Stock (MgC)
Guatemala,mangrove,13341057.811812706,11126620.92545703,15555494.698168382,Total Stock (MgC)
Guatemala,marsh,335869.2516489015,245192.69649408472,426545.80680371827,Total Stock (MgC)
Guatemala,seagrass,51948,NA,NA,Total Stock (MgC)
Bahrain,mangrove,32473.869573068467,27083.642228304776,37864.096917832154,Total Stock (MgC)
Bahrain,marsh,0,NA,NA,Total Stock (MgC)
Bahrain,seagrass,3952584,NA,NA,Total Stock (MgC)
American Samoa,mangrove,NA,NA,NA,Total Stock (MgC)
American Samoa,marsh,NA,NA,NA,Total Stock (MgC)
American Samoa,seagrass,4116312,NA,NA,Total Stock (MgC)
Costa Rica,mangrove,9652685.058465056,8054055.477721913,11251314.6392082,Total Stock (MgC)
Costa Rica,marsh,403510.7282768676,294572.61432767625,512448.84222605894,Total Stock (MgC)
Costa Rica,seagrass,1728,NA,NA,Total Stock (MgC)
Kenya,mangrove,11522359.25323611,9255051.93054372,13789666.575928498,Total Stock (MgC)
Kenya,marsh,44413.259806823735,32422.756410911486,56403.76320273598,Total Stock (MgC)
Kenya,seagrass,1222776,NA,NA,Total Stock (MgC)
Estonia,mangrove,0,NA,NA,Total Stock (MgC)
Estonia,marsh,7550633.3485587435,5512145.401468857,9589121.29564863,Total Stock (MgC)
Estonia,seagrass,1674000,NA,NA,Total Stock (MgC)
Saudi Arabia,mangrove,3128378.074190088,2609109.2201252407,3647646.9282549354,Total Stock (MgC)
Saudi Arabia,marsh,36609.21799852906,26725.61669021862,46492.81930683949,Total Stock (MgC)
Saudi Arabia,seagrass,3996000,NA,NA,Total Stock (MgC)
United States Minor Outlying Islands,mangrove,NA,NA,NA,Total Stock (MgC)
United States Minor Outlying Islands,marsh,NA,NA,NA,Total Stock (MgC)
United States Minor Outlying Islands,seagrass,5261328,NA,NA,Total Stock (MgC)
South Africa,mangrove,161116.24008235402,108655.78771518148,213576.69244952657,Total Stock (MgC)
South Africa,marsh,2515826.4980465462,1836614.3370936958,3195038.6589993965,Total Stock (MgC)
South Africa,seagrass,4115124,NA,NA,Total Stock (MgC)
Chile,mangrove,0,NA,NA,Total Stock (MgC)
Chile,marsh,12636362.045444356,9224850.648242254,16047873.442646459,Total Stock (MgC)
Chile,seagrass,21600,NA,NA,Total Stock (MgC)
Pakistan,mangrove,19523939.583157253,16283227.145674108,22764652.020640396,Total Stock (MgC)
Pakistan,marsh,55109.39558984374,40231.19484887566,69987.59633081182,Total Stock (MgC)
Pakistan,seagrass,NA,NA,NA,Total Stock (MgC)
Marshall Islands,mangrove,457.0295223632813,381.1687437990324,532.8903009275301,Total Stock (MgC)
Marshall Islands,marsh,0,NA,NA,Total Stock (MgC)
Marshall Islands,seagrass,5515560,NA,NA,Total Stock (MgC)
Germany,mangrove,0,NA,NA,Total Stock (MgC)
Germany,marsh,4817335.317043865,2950736.979270094,6683933.654817636,Total Stock (MgC)
Germany,seagrass,1763640,NA,NA,Total Stock (MgC)
Solomon Islands,mangrove,17825015.20238827,14866301.454137452,20783728.95063909,Total Stock (MgC)
Solomon Islands,marsh,0,NA,NA,Total Stock (MgC)
Solomon Islands,seagrass,852767.9999999999,NA,NA,Total Stock (MgC)
Greece,mangrove,0,NA,NA,Total Stock (MgC)
Greece,marsh,5882393.642932392,4294289.971676163,7470497.31418862,Total Stock (MgC)
Greece,seagrass,4443228,NA,NA,Total Stock (MgC)
Dominican Republic,mangrove,8190837.85484887,6702291.110063874,9679384.599633867,Total Stock (MgC)
Dominican Republic,marsh,480540.33455635374,350806.09441202873,610274.5747006787,Total Stock (MgC)
Dominican Republic,seagrass,4970160,NA,NA,Total Stock (MgC)
Turks and Caicos Islands,mangrove,6601159.015847134,5505455.045173385,7696862.986520884,Total Stock (MgC)
Turks and Caicos Islands,marsh,11077.148112854005,8086.586675978973,14067.709549729037,Total Stock (MgC)
Turks and Caicos Islands,seagrass,5282496,NA,NA,Total Stock (MgC)
Romania,mangrove,0,NA,NA,Total Stock (MgC)
Romania,marsh,17456759.814450055,12743857.884999063,22169661.743901048,Total Stock (MgC)
Romania,seagrass,NA,NA,NA,Total Stock (MgC)
Puerto Rico,mangrove,3201614.699955805,2670189.547056526,3733039.8528550845,Total Stock (MgC)
Puerto Rico,marsh,67834.69436105347,49520.97146310232,86148.41725900461,Total Stock (MgC)
Puerto Rico,seagrass,6522336,NA,NA,Total Stock (MgC)
United Kingdom,mangrove,0,NA,NA,Total Stock (MgC)
United Kingdom,marsh,11662852.164862445,8563282.943134904,14762421.386589985,Total Stock (MgC)
United Kingdom,seagrass,1421064.0000000002,NA,NA,Total Stock (MgC)
Samoa,mangrove,146373.3724538201,122077.35337390761,170669.3915337326,Total Stock (MgC)
Samoa,marsh,0,NA,NA,Total Stock (MgC)
Samoa,seagrass,7928496,NA,NA,Total Stock (MgC)
Gambia,mangrove,27256757.872030485,22732501.183715556,31781014.560345415,Total Stock (MgC)
Gambia,marsh,858221.0574872742,626522.1786163404,1089919.9363582078,Total Stock (MgC)
Gambia,seagrass,NA,NA,NA,Total Stock (MgC)
Japan,mangrove,0,NA,NA,Total Stock (MgC)
Japan,marsh,7128583.003070889,5204038.417103992,9053127.589037787,Total Stock (MgC)
Japan,seagrass,5125356,NA,NA,Total Stock (MgC)
Suriname,mangrove,28778608.16685574,24001744.71557571,33555471.61813577,Total Stock (MgC)
Suriname,marsh,1114162.4856923523,813365.6262319344,1414959.3451527702,Total Stock (MgC)
Suriname,seagrass,NA,NA,NA,Total Stock (MgC)
Haiti,mangrove,5624837.957636263,4691190.204297367,6558485.71097516,Total Stock (MgC)
Haiti,marsh,1025620.7125934999,748727.9852692862,1302513.4399177136,Total Stock (MgC)
Haiti,seagrass,6612516,NA,NA,Total Stock (MgC)
Cambodia,mangrove,18773086.295546778,15977291.680430254,21568880.9106633,Total Stock (MgC)
Cambodia,marsh,439258.8881655762,320669.63772229396,557848.1386088585,Total Stock (MgC)
Cambodia,seagrass,3651912,NA,NA,Total Stock (MgC)
New Zealand,mangrove,1837169.8551034865,NA,NA,Total Stock (MgC)
New Zealand,marsh,2108117.455981292,1485887.6139124348,2730347.298050149,Total Stock (MgC)
New Zealand,seagrass,3175200,NA,NA,Total Stock (MgC)
French Guiana,mangrove,8037508.813010524,5281587.219479857,10793430.406541191,Total Stock (MgC)
French Guiana,marsh,137023.74715045167,100030.65741386628,174016.83688703706,Total Stock (MgC)
French Guiana,seagrass,NA,NA,NA,Total Stock (MgC)
Angola,mangrove,1460843.317854133,NA,NA,Total Stock (MgC)
Angola,marsh,466361.77643718256,340455.40324107336,592268.1496332918,Total Stock (MgC)
Angola,seagrass,6444036,NA,NA,Total Stock (MgC)
Jamaica,mangrove,3691735.250842891,3078956.6519159414,4304513.849769841,Total Stock (MgC)
Jamaica,marsh,559735.8379575806,408620.73190510867,710850.9440100525,Total Stock (MgC)
Jamaica,seagrass,8436528,NA,NA,Total Stock (MgC)
Fiji,mangrove,34172483.37440968,28500308.892438307,39844657.85638106,Total Stock (MgC)
Fiji,marsh,0,NA,NA,Total Stock (MgC)
Fiji,seagrass,414288,NA,NA,Total Stock (MgC)
Tanzania,mangrove,7565643.946878367,6414769.54368982,8716518.350066915,Total Stock (MgC)
Tanzania,marsh,135579.84191551516,98976.5715864262,172183.11224460413,Total Stock (MgC)
Tanzania,seagrass,497556,NA,NA,Total Stock (MgC)
Vanuatu,mangrove,522452.6301852044,435732.4920990582,609172.7682713505,Total Stock (MgC)
Vanuatu,marsh,3805.811452331543,2778.3346280257565,4833.2882766373295,Total Stock (MgC)
Vanuatu,seagrass,11884752,NA,NA,Total Stock (MgC)
United Arab Emirates,mangrove,772437.5801077132,642861.1569857104,902014.0032297161,Total Stock (MgC)
United Arab Emirates,marsh,35769.0008171945,22337.38995722695,49200.61167716205,Total Stock (MgC)
United Arab Emirates,seagrass,2815510.6020359495,NA,NA,Total Stock (MgC)
New Caledonia,mangrove,9375937.576444231,7819657.534312753,10932217.618575709,Total Stock (MgC)
New Caledonia,marsh,40378.63238607788,29477.380578545126,51279.88419361063,Total Stock (MgC)
New Caledonia,seagrass,10108800,NA,NA,Total Stock (MgC)
