territory,habitat,mid,lowerCI,upperCI,mid_point,variable
Cambodia,marsh,1722.5838751591225,1043.3880771812915,1947.3537075834408,NA,Area (hectare)
Cambodia,seagrass,NA,NA,NA,33814,Area (hectare)
New Zealand,mangrove,31299.306919661285,27482.778498643114,36284.50359857722,NA,Area (hectare)
New Zealand,marsh,26903.58334816478,16295.797553738992,30414.073611068274,NA,Area (hectare)
New Zealand,seagrass,NA,NA,NA,29400,Area (hectare)
French Guiana,mangrove,87669.33782501635,76979.24426096886,101632.87040066867,NA,Area (hectare)
French Guiana,marsh,537.348028040987,325.4776349877612,607.4634099147163,NA,Area (hectare)
French Guiana,seagrass,NA,NA,NA,NA,Area (hectare)
Angola,mangrove,26861.62135263579,23586.208846214944,31140.005723931205,NA,Area (hectare)
Angola,marsh,1828.869711518363,1107.7665820713535,2067.5081572346394,NA,Area (hectare)
Angola,seagrass,NA,NA,NA,59667,Area (hectare)
Jamaica,mangrove,9564.08096073288,8397.870255133304,11087.399824141266,NA,Area (hectare)
Jamaica,marsh,2195.0425017944335,1329.561485107332,2481.4606799786543,NA,Area (hectare)
Jamaica,seagrass,NA,NA,NA,78116,Area (hectare)
Fiji,mangrove,88529.74967463649,77734.74048781546,102630.32433579685,NA,Area (hectare)
Fiji,marsh,0,0,0,NA,Area (hectare)
Fiji,seagrass,NA,NA,NA,3836,Area (hectare)
Tanzania,mangrove,93124.27060454409,81769.02154548038,107956.63752358979,NA,Area (hectare)
Tanzania,marsh,531.6856545706477,322.04787284224363,601.0621866534289,NA,Area (hectare)
Tanzania,seagrass,NA,NA,NA,4607,Area (hectare)
Vanuatu,mangrove,1353.5042232777316,1188.462634677485,1569.0835898145756,NA,Area (hectare)
Vanuatu,marsh,14.924750793457031,9.040086382648047,16.872193691998135,NA,Area (hectare)
Vanuatu,seagrass,NA,NA,NA,110044,Area (hectare)
United Arab Emirates,mangrove,11903.937565825048,10452.412899205088,13799.937057810472,NA,Area (hectare)
United Arab Emirates,marsh,695.7945543406048,421.45044583074076,786.5846909697684,NA,Area (hectare)
United Arab Emirates,seagrass,NA,NA,NA,102637,Area (hectare)
New Caledonia,mangrove,24289.99372135811,21328.156527267314,28158.78213707022,NA,Area (hectare)
New Caledonia,marsh,158.34757798461914,95.91287675581223,179.00942155674227,NA,Area (hectare)
New Caledonia,seagrass,NA,NA,NA,93600,Area (hectare)
Mayotte,mangrove,499.0025809364469,438.15594502870266,578.4812101482714,NA,Area (hectare)
Mayotte,marsh,0,0,0,NA,Area (hectare)
Mayotte,seagrass,NA,NA,NA,127526,Area (hectare)
