study_id,site_id,core_id,core_count,habitat,management,accumulation_type,carbon_stock,carbon_stock_unit,depth_min_cm,depth_max_cm,pb210_rate,pb210_rate_se,pb210_rate_cic,pb210_rate_cic_se,pb210_rate_unit,cs137_rate,cs137_rate_se,cs137_rate_unit,marker_rate,marker_rate_se,marker_rate_unit,radiocarbon_rate,radiocarbon_rate_se,radiocarbon_rate_unit,SET_rate,SET_rate_se,SET_rate_unit,reported_rates,notes
Arias-Ortiz_et_al_2021,US-Tw1,TyphaW3,1,marsh ,restored,organic carbon,,,0,81,210,100,,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,,,,
Arriola_and_Cable_2017,Mouth,,1,marsh ,natural,organic carbon,,,,,109.5,36,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,"vertical accretion, mass accumulation rate, carbon burial rate, total carbon accumulated ",
Arriola_and_Cable_2017,MC,,1,marsh ,natural,organic carbon,,,,,95.7,51.4,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,
Arriola_and_Cable_2017,HE,,1,marsh ,natural,organic carbon,,,,,NA,,,,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,HI,,1,marsh ,natural,organic carbon,,,,,NA,,,,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,Upstream,,1,marsh ,natural,organic carbon,,,,,49.5,24.8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,
Arriola_and_Cable_2017,Forest,,1,marsh ,natural,organic carbon,,,,,65.2,28.6,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,
Baustian_et_al_2021,CRMS175,CRMS175,1,marsh ,natural,total carbon,,,,,248.9,,,,gramsPerSquareMeterPerYear,180.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0211,CRMS0211,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0224,CRMS0224,1,marsh,natural,total carbon,,,,,190.7,,,,gramsPerSquareMeterPerYear,217.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0225,CRMS0225,1,marsh,natural,total carbon,,,,,185.3,,,,gramsPerSquareMeterPerYear,503,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0237,CRMS0237,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0253,CRMS0253,1,marsh,natural,total carbon,,,,,349.6,,,,gramsPerSquareMeterPerYear,417.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0273,CRMS0273,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0305,CRMS0305,1,marsh,natural,total carbon,,,,,153.1,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0309,CRMS0309,1,marsh,natural,total carbon,,,,,356.8,,,,gramsPerSquareMeterPerYear,176.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0327,CRMS0327,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0331,CRMS0331,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0337,CRMS0337,1,marsh,natural,total carbon,,,,,208.5,,,,gramsPerSquareMeterPerYear,276.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0367,CRMS0367,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0377,CRMS0377,1,marsh,natural,total carbon,,,,,61.5,,,,gramsPerSquareMeterPerYear,136.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0398,CRMS0398,1,marsh,natural,total carbon,,,,,431.1,,,,gramsPerSquareMeterPerYear,485,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS0399,CRMS0399,1,marsh,natural,total carbon,,,,,396.4,,,,gramsPerSquareMeterPerYear,383.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS2825,CRMS2825,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS3166,CRMS3166,1,marsh,natural,total carbon,,,,,399,,,,gramsPerSquareMeterPerYear,997.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS3565,CRMS3565,1,marsh,natural,total carbon,,,,,402,,,,gramsPerSquareMeterPerYear,332.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS3617,CRMS3617,1,marsh,natural,total carbon,,,,,374.4,,,,gramsPerSquareMeterPerYear,295.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS4045,CRMS4045,1,marsh,natural,total carbon,,,,,298.1,,,,gramsPerSquareMeterPerYear,453.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS4245,CRMS4245,1,marsh,natural,total carbon,,,,,638.1,,,,gramsPerSquareMeterPerYear,903.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,CRMS4455,CRMS4455,1,marsh,natural,total carbon,,,,,343.7,,,,gramsPerSquareMeterPerYear,348.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Baustian_et_al_2021,BA-01-04,BA-01-04,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_2012,NCLM,NCLM-1,1,marsh ,natural,organic matter,,,0,50,0.04,,,,gramsPerSquareCentimeterPerYear,0.08,,gramsPerSquareCentimeterPerYear,,,,,,,,,,"data available for accretion, mineral accumulation, organic accumulation rate ",
Boyd_2012,NCLM,NCLM-2,1,marsh ,natural,organic matter,,,0,70,0.06,,,,gramsPerSquareCentimeterPerYear,0.08,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCLM,NCLM-3,1,marsh ,natural,organic matter,,,0,50,0.06,,,,gramsPerSquareCentimeterPerYear,0.08,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCRE,NCRE-1,1,marsh ,natural,organic matter,,,0,94,0.07,,,,gramsPerSquareCentimeterPerYear,0.1,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCRE,NCRE-2,1,marsh ,natural,organic matter,,,0,90,0.04,,,,gramsPerSquareCentimeterPerYear,0.08,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCRE,NCRE-3,1,marsh ,natural,organic matter,,,0,70,0.03,,,,gramsPerSquareCentimeterPerYear,0.08,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,BBRC,BBRC-1,1,marsh ,disturbed,organic matter,,,0,78,0.06,,,,gramsPerSquareCentimeterPerYear,0.03,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,BBRC,BBCR-2,1,marsh ,disturbed,organic matter,,,0,102,0.08,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBW,NCBW-1,1,marsh ,disturbed,organic matter,,,0,66,0.03,,,,gramsPerSquareCentimeterPerYear,0.05,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBW,NCBW-2,1,marsh ,disturbed,organic matter,,,0,38,NA,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBW,NCBW-3,1,marsh ,disturbed,organic matter,,,0,50,NA,,,,gramsPerSquareCentimeterPerYear,0.03,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBD,NCBD-1,1,marsh ,disturbed,organic matter,,,0,50,0.02,,,,gramsPerSquareCentimeterPerYear,0.04,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBD,NCBD-2,1,marsh ,disturbed,organic matter,,,0,70,0.02,,,,gramsPerSquareCentimeterPerYear,0.05,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCBD,NCBD-3,1,marsh ,disturbed,organic matter,,,0,50,0.03,,,,gramsPerSquareCentimeterPerYear,0.05,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCGB,NCGB-1,1,marsh ,disturbed,organic matter,,,0,46,NA,,,,gramsPerSquareCentimeterPerYear,0.07,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCGB,NCGB-2,1,marsh ,disturbed,organic matter,,,0,70,NA,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,NCGB,NCGB-3,1,marsh ,disturbed,organic matter,,,0,70,NA,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PK,PK-1,1,marsh ,natural,organic matter,,,0,58,0.04,,,,gramsPerSquareCentimeterPerYear,0.05,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PK,PK-2,1,marsh ,natural,organic matter,,,0,62,0.09,,,,gramsPerSquareCentimeterPerYear,0.1,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PK,PK-3,1,marsh ,natural,organic matter,,,0,62,0.04,,,,gramsPerSquareCentimeterPerYear,0.06,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,LC,LC-1,1,marsh ,disturbed,organic matter,,,0,42,NA,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,LC,LC-2,1,marsh ,disturbed,organic matter,,,0,42,0.02,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,LC,LC-3,1,marsh ,disturbed,organic matter,,,0,42,0.03,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,MH,MH-1,1,marsh ,disturbed,organic matter,,,0,42,0.03,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,MH,MH-2,1,marsh ,disturbed,organic matter,,,0,42,0.02,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,MH,MH-3,1,marsh ,disturbed,organic matter,,,0,42,0.01,,,,gramsPerSquareCentimeterPerYear,0.01,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-1,1,marsh ,disturbed,organic matter,,,0,50,NA,,,,gramsPerSquareCentimeterPerYear,0.01,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-2,1,marsh ,disturbed,organic matter,,,0,42,0.02,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-3,1,marsh ,disturbed,organic matter,,,0,42,0.02,,,,gramsPerSquareCentimeterPerYear,0.03,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-4,1,marsh ,disturbed,organic matter,,,0,50,0.01,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-5,1,marsh ,disturbed,organic matter,,,0,50,0.03,,,,gramsPerSquareCentimeterPerYear,0.03,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,TH,TH-6,1,marsh ,disturbed,organic matter,,,0,42,0.02,,,,gramsPerSquareCentimeterPerYear,0.01,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-1,1,marsh ,disturbed,organic matter,,,0,40,0.04,,,,gramsPerSquareCentimeterPerYear,0.04,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-2,1,marsh ,disturbed,organic matter,,,0,94,0.03,,,,gramsPerSquareCentimeterPerYear,0.04,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-3,1,marsh ,disturbed,organic matter,,,0,50,0.03,,,,gramsPerSquareCentimeterPerYear,0.04,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-4,1,marsh ,disturbed,organic matter,,,0,50,NA,,,,gramsPerSquareCentimeterPerYear,0.01,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-5,1,marsh ,disturbed,organic matter,,,0,94,NA,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-6,1,marsh ,disturbed,organic matter,,,0,78,0.01,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-7,1,marsh ,disturbed,organic matter,,,0,58,0.01,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-8,1,marsh ,disturbed,organic matter,,,0,34,0.04,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-9,1,marsh ,disturbed,organic matter,,,0,50,NA,,,,gramsPerSquareCentimeterPerYear,NA,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-10,1,marsh ,disturbed,organic matter,,,0,42,0.05,,,,gramsPerSquareCentimeterPerYear,0.04,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-11,1,marsh ,disturbed,organic matter,,,0,42,0.03,,,,gramsPerSquareCentimeterPerYear,0.03,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_2012,PM,PM-12,1,marsh ,disturbed,organic matter,,,0,42,NA,,,,gramsPerSquareCentimeterPerYear,0.02,,gramsPerSquareCentimeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,Unit1,1a,1,marsh,disturbed,organic matter,,,,,0.3,,,,centimeterPerYear,449,,gramsPerSquareMeterPerYear,,,,,,,,,,"accretion available for Pb, accretion, organic matter accumulation, and mineral sediment accumulation rate available for Cs ",
Boyd_and_Sommerfield_2016,Unit1,1b,1,marsh,disturbed,organic matter,,,,,0.48,,,,centimeterPerYear,399,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,Unit1,1c,1,marsh,disturbed,organic matter,,,,,0.49,,,,centimeterPerYear,429,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitII,2a,1,marsh,disturbed,organic matter,,,,,0.13,,,,centimeterPerYear,136,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitII,2b,1,marsh,disturbed,organic matter,,,,,0.15,,,,centimeterPerYear,183,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitII,2c,1,marsh,disturbed,organic matter,,,,,0.12,,,,centimeterPerYear,227,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIII,3a,1,marsh,disturbed,organic matter,,,,,0.21,,,,centimeterPerYear,172,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIII,3b,1,marsh,disturbed,organic matter,,,,,0.32,,,,centimeterPerYear,390,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIII,3c,1,marsh,disturbed,organic matter,,,,,0.26,,,,centimeterPerYear,234,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIV,4a,1,marsh,disturbed,organic matter,,,,,0.33,,,,centimeterPerYear,455,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIV,4b,1,marsh,disturbed,organic matter,,,,,0.31,,,,centimeterPerYear,377,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_and_Sommerfield_2016,UnitIV,4c,1,marsh,disturbed,organic matter,,,,,0.26,,,,centimeterPerYear,223,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,RC,RC_1,1,marsh,natural,organic matter,,,0,42,0.24,,,,kilogramsPerSquareMeterPerYear,0.21,,kilogramsPerSquareMeterPerYear,,,,,,,,,,"data available for accretion rate, mineral sediment accumulation, organic mass accumulation",
Boyd_et_al_2017,RC,RC_2,1,marsh,natural,organic matter,,,0,64,0.21,,,,kilogramsPerSquareMeterPerYear,0.16,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,RC,RC_3,1,marsh,natural,organic matter,,,0,42,0.15,,,,kilogramsPerSquareMeterPerYear,0.24,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,IB,IB_1,1,marsh,natural,organic matter,,,0,46,0.26,,,,kilogramsPerSquareMeterPerYear,0.31,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,IB,IB_2,1,marsh,natural,organic matter,,,0,74,0.24,,,,kilogramsPerSquareMeterPerYear,0.25,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,IB,IB_3,1,marsh,natural,organic matter,,,0,42,0.26,,,,kilogramsPerSquareMeterPerYear,0.36,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,CC,CC_1,1,marsh,natural,organic matter,,,0,42,0.28,,,,kilogramsPerSquareMeterPerYear,0.34,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,CC,CC_2,1,marsh,natural,organic matter,,,0,52,0.38,,,,kilogramsPerSquareMeterPerYear,0.38,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,CC,CC_3,1,marsh,natural,organic matter,,,0,52,0.36,,,,kilogramsPerSquareMeterPerYear,0.36,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,DV,DV_1,1,marsh,natural,organic matter,,,0,76,0.48,,,,kilogramsPerSquareMeterPerYear,0.38,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,DV,DV_2,1,marsh,natural,organic matter,,,0,60,NA,,,,,0.63,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,DV,DV_3,1,marsh,natural,organic matter,,,0,60,0.22,,,,kilogramsPerSquareMeterPerYear,0.33,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,MR,MR_1,1,marsh,natural,organic matter,,,0,74,0.9,,,,kilogramsPerSquareMeterPerYear,0.89,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,MR,MR_2,1,marsh,natural,organic matter,,,0,78,0.77,,,,kilogramsPerSquareMeterPerYear,0.83,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,MR,MR_3,1,marsh,natural,organic matter,,,0,76,1.1,,,,kilogramsPerSquareMeterPerYear,NA,,,,,,,,,,,,,
Boyd_et_al_2017,DN,DN_1,1,marsh,natural,organic matter,,,0,50,0.34,,,,kilogramsPerSquareMeterPerYear,0.44,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,DN,DN_2,1,marsh,natural,organic matter,,,0,60,0.54,,,,kilogramsPerSquareMeterPerYear,0.66,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Boyd_et_al_2017,DN,DN_3,1,marsh,natural,organic matter,,,0,62,0.91,,,,kilogramsPerSquareMeterPerYear,0.62,,kilogramsPerSquareMeterPerYear,,,,,,,,,,,
Breithaupt_et_al_2014,WSC-5,,6,mangrove ,natural,organic carbon,,,0,40,176,31,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,"data available for accretion, organic matter accumulation, organic carbon accumulation, inorganic matter accumulation rate",accumulation rate provides SD not SE; max depth ranges from 27-40
Callaway_et_al_2019,WT_low,WT_low_A,1,marsh ,natural,total carbon,,,0,52,NA,,,,,160.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,WT_low,WT_low_B,1,marsh ,natural,total carbon,,,0,52,NA,,,,,132.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,WT_mid,WT_mid_A,1,marsh ,natural,total carbon,,,0,50,NA,,,,,117.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,WT_high,WT_high_A,1,marsh ,natural,total carbon,,,0,52,NA,,,,,102.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,CC_low,CC_low_A,1,marsh ,natural,total carbon,,,0,54,113.8,,,,gramsPerSquareMeterPerYear,186.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,CC_low,CC_low_B,1,marsh ,natural,total carbon,,,0,50,77.9,,,,gramsPerSquareMeterPerYear,97.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,
Callaway_et_al_2019,CC_mid,CC_mid_A,1,marsh ,natural,total carbon,,,0,52,65.8,,,,gramsPerSquareMeterPerYear,72.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,
