territory,ecosystem,MgPerHa,MgPerHa_sd
Costa Rica,marsh,220.314157636797,3.396873933317006
Croatia,marsh,296.1091355146856,11.318615908666082
Cuba,mangrove,487.0237985758405,40.341979678295225
Cuba,marsh,263.6569631498142,9.609901379863409
Curacao,mangrove,384.032522540585,32.54375857289833
Cyprus,marsh,237.21795927532312,28.02798132751718
Côte d'Ivoire,mangrove,248.38169800060405,35.42960035347656
Côte d'Ivoire,marsh,254.58839060276907,9.333036361722662
Democratic Republic of the Congo,mangrove,430.25590218081356,37.473116010443725
Democratic Republic of the Congo,marsh,240.31672971724734,9.39067340185796
Denmark,marsh,258.88016254373576,17.383301398835844
Djibouti,mangrove,251.332027900239,44.88403911499085
Dominican Republic,mangrove,409.34243763242324,98.3322105141065
Dominican Republic,marsh,283.1503425013796,35.9579653031619
Ecuador,mangrove,387.8575860337448,36.95034005803841
Ecuador,marsh,204.5048377521612,10.536955961038244
Egypt,mangrove,251.77260573320333,53.21584894144418
Egypt,marsh,217.89344356881446,15.639301559696001
El Salvador,mangrove,305.27723793266745,57.83096710727373
El Salvador,marsh,227.32356083331757,11.826933192765162
Equatorial Guinea,mangrove,385.71808573139094,34.79833348117192
Equatorial Guinea,marsh,262.20216420893615,8.686628242478815
Eritrea,mangrove,290.8338609163363,22.423228788896584
Estonia,marsh,333.63402562845727,40.40269815190459
Falkland Islands,marsh,686.1570038045556,65.7927951624343
Fiji,mangrove,480.6629461905964,90.47017785551212
Finland,marsh,286.900407072368,25.840965308933896
France,marsh,241.00896140119312,8.680068870327606
French Guiana,mangrove,274.4329463813934,47.309276363983365
French Guiana,marsh,220.51041198699463,8.592771824997886
Gabon,mangrove,474.57449224617295,41.318279581149476
Gabon,marsh,239.48379495019753,4.336190744304819
Gambia,mangrove,291.36863110170697,35.79931569887818
Gambia,marsh,195.2909216766778,15.789647578165878
Georgia,marsh,323.6826428409795,5.8306430272916625
Germany,marsh,236.25172177728234,11.159249094620654
Ghana,mangrove,239.38398647972582,37.360293082432854
Ghana,marsh,217.76556365457114,4.155861698240578
Greece,marsh,252.1428241462058,15.165707247804376
Grenada,mangrove,394.7390489465693,65.7872585989922
Guadeloupe,mangrove,504.58863576375967,55.523484935356
Guatemala,mangrove,316.77480070026917,60.82146987994429
Guatemala,marsh,282.0655407135946,12.611534554810506
Guinea,mangrove,244.9452740948668,38.8392391092846
Guinea,marsh,246.60336056743074,45.50329046527829
Guinea-Bissau,mangrove,297.32957864278677,44.414223819427626
Guinea-Bissau,marsh,199.95214708101324,8.206127595730498
Guyana,mangrove,407.97495741459574,27.307684930328385
Guyana,marsh,244.3706776775236,7.241888460457788
Haiti,mangrove,442.61703050843033,74.76535203229987
Haiti,marsh,231.07781563588168,25.22918661192225
Honduras,mangrove,390.6739919951042,31.320825831348216
Honduras,marsh,256.83543199441203,27.05044979023928
India,mangrove,229.62931042977118,15.202577774202382
India,marsh,203.9113629794234,3.9301249857514486
Indonesia,mangrove,520.8085174717992,12.335609331623912
Indonesia,marsh,254.37239508905697,10.069226446684612
Iran,mangrove,297.06687604072465,22.84929347104158
Iran,marsh,301.19307901421604,9.648172613715804
Iraq,marsh,307.0272898239842,10.925501343142432
Ireland,marsh,254.15547531277738,28.27169112718426
Israel,marsh,216.0636882942264,13.12994571520736
Italy,marsh,242.8007309885956,15.253075438373724
Jamaica,mangrove,410.12041126476817,100.92281797388661
Jamaica,marsh,259.76233880187095,13.41514795580396
Japan,mangrove,410.4018568988175,80.30253811125132
Japan,marsh,266.61149127653965,27.26555412320778
Kenya,mangrove,379.51890554632314,35.13782589475177
Kenya,marsh,184.64883399882652,5.945213876258528
Kuwait,marsh,334.870768248372,12.546121619731418
Latvia,marsh,279.38244298625557,11.642129093347613
Liberia,mangrove,262.317097953222,21.204568896376436
Liberia,marsh,284.7825047757009,15.209473434452716
Libya,marsh,222.0920007006811,10.8310648536944
Lithuania,marsh,257.2538380991265,10.920072243772356
Madagascar,mangrove,252.01233559416391,17.00723480530786
Madagascar,marsh,224.08625531281737,4.063458930121108
Malaysia,mangrove,505.32508909606304,15.673178329983598
Malaysia,marsh,278.02576570098455,8.939142495145225
Maldives,mangrove,546.6773615806763,23.22363729466937
Martinique,mangrove,433.5559748622112,70.30677207333989
Mauritania,mangrove,274.2658618202017,15.415445339218811
Mauritania,marsh,209.72921057498814,18.34296145844081
Mayotte,mangrove,419.64912023801,55.72401633748802
Mexico,mangrove,271.76735063822355,25.128989076694914
Mexico,marsh,251.3239052768002,5.780169112630612
Micronesia,mangrove,508.13497477824615,69.65984987891613
Montenegro,marsh,285.31064388093466,12.785718682933023
Morocco,mangrove,249.35084724617852,18.389563222420097
Morocco,marsh,174.17830661295736,8.78585730404526
Mozambique,mangrove,222.05998301004766,10.177507083297142
Mozambique,marsh,199.22924037638214,4.2540924597673095
Myanmar,mangrove,272.2798277172028,25.640037126705824
Myanmar,marsh,188.60338616509333,4.0945269968180655
Namibia,marsh,225.97892255944862,9.341778739927443
Netherlands,marsh,264.24102357424067,37.98163490467874
New Caledonia,mangrove,299.4961267174568,66.43033182745663
New Caledonia,marsh,280.07459339631345,25.596557428086008
New Zealand,mangrove,363.9275019646215,60.263080519826616
New Zealand,marsh,276.0514532231003,11.961031658040335
Nicaragua,mangrove,364.60667215160333,49.266012068860846
Nicaragua,marsh,238.97159209953807,15.363603842213635
Nigeria,mangrove,455.2097245399196,38.16264585788092
Nigeria,marsh,247.88245588863015,6.972932099577336
North Korea,marsh,195.75778211326,7.979740018904298
Norway,marsh,281.6835516114349,12.537726084422495
Oman,mangrove,261.5126265957132,28.688385903106756
Oman,marsh,229.90788371321082,26.437583548318187
Pakistan,mangrove,237.1557886777483,20.71328362175759
Pakistan,marsh,176.075795936726,3.567155633476671
Palau,mangrove,593.1830337901661,68.79676981992954
Panama,mangrove,421.2843920912875,31.399840228768518
Panama,marsh,233.602933410234,9.883334352773783
Papua New Guinea,mangrove,450.7182748375736,16.812902640893988
Papua New Guinea,marsh,267.5533888804115,6.109880177066569
Peru,mangrove,340.8684543904255,37.18815598981851
Peru,marsh,218.71400972731627,11.593369209997642
Philippines,mangrove,461.2289230398661,23.80240722040254
Philippines,marsh,240.3586751064487,10.803445490773498
Poland,marsh,279.30737187965127,14.722892011222722
Portugal,marsh,168.39210977319286,23.996943476517046
Puerto Rico,mangrove,407.3605487207182,93.85314232758394
Puerto Rico,marsh,293.83477064548345,17.165328572085723
Qatar,mangrove,265.5825441169682,36.69698791839689
Qatar,marsh,270.4311005830922,8.855782841537899
Romania,marsh,279.02901806712475,19.179050742882684
Russian Federation,marsh,314.22751085142966,6.0946537532166465
Réunion,marsh,362.896604347229,9.133092461779633
Saint Barthelemy,mangrove,399.02394398012194,35.31135505020398
Saint Kitts and Nevis,mangrove,380.3639184759389,39.81442654598541
Saint Lucia,mangrove,416.5328999594018,50.93221549657457
Saint Martin,mangrove,279.50562694468016,53.03526435869602
Saint Pierre and Miquelon,marsh,362.31305881545023,22.635762505833465
Saint Vincent and the Grenadines,mangrove,382.72685461347254,39.99608016164408
Saudi Arabia,mangrove,249.2071118199145,19.725579301085475
Saudi Arabia,marsh,154.7847031758758,15.899885417247992
Senegal,mangrove,334.44061182615906,34.02370727782029
Senegal,marsh,190.99434265758865,10.423415345062661
Seychelles,mangrove,409.24183497402504,54.184633630041745
Sierra Leone,mangrove,265.43494247284565,54.424108222555454
Sierra Leone,marsh,209.90356628521528,16.304290836676955
Singapore,mangrove,529.0566523135615,70.09346264194713
Sint Maarten,mangrove,260.1700288184438,11.31911873688028
Slovenia,marsh,314.9710040302407,10.016135755763539
Solomon Islands,mangrove,485.6122509846944,19.776963209373154
Somalia,mangrove,276.431084701832,23.058257567129733
Somalia,marsh,177.53526255527692,1.9902172953054567
South Africa,mangrove,239.0911678155117,21.873629744055997
South Africa,marsh,247.81507683468533,17.779338776046952
South Korea,marsh,186.3923578071546,8.13883934614122
Spain,marsh,179.8467074970448,6.998769143128613
Sri Lanka,mangrove,333.8443405561262,48.54397315122105
Sri Lanka,marsh,271.0586680732642,20.417010209779598
Sudan,mangrove,273.14960660663206,30.09699198977663
Suriname,mangrove,328.17622864565874,34.71180052867555
Suriname,marsh,227.08521682840927,20.391890759848778
Sweden,marsh,273.07685411147537,13.71646127418714
Syria,marsh,238.79744626937375,18.823191438635483
Tanzania,mangrove,290.4151042056585,25.121163507921175
Tanzania,marsh,209.74609003996386,7.964027025858044
Thailand,mangrove,316.0202343031146,34.70618928717766
Thailand,marsh,263.36259668742514,8.038035435250016
Timor-Leste,mangrove,396.1048863435588,70.62109014378092
Timor-Leste,marsh,249.51931016569952,14.500625950096438
Togo,mangrove,176.18301519624242,25.473860174924283
Togo,marsh,234.16061309844707,14.791666300366971
Tonga,marsh,327.2475897773864,22.12391170589485
Trinidad and Tobago,mangrove,357.2635695378012,64.11985039407688
Trinidad and Tobago,marsh,262.1760775927925,26.75637678798016
Tunisia,marsh,201.48333484797593,34.40692892398903
Turkey,marsh,277.55404751107807,7.297821361042507
Turks and Caicos Islands,mangrove,440.64857269406343,46.929519620754235
Turks and Caicos Islands,marsh,213.20006818619984,11.376755806874804
US Virgin Islands,mangrove,422.9304040996256,82.03858186080689
Ukraine,marsh,263.74194109068134,7.42278444195388
United Arab Emirates,mangrove,272.2681775528282,24.164053755495914
United Arab Emirates,marsh,187.1362348743544,34.956132936408686
United Kingdom,marsh,255.1288631903283,13.42746613492749
United States,mangrove,493.974020483227,44.649658233783185
United States,marsh,288.34432227223766,6.539120936034625
Uruguay,marsh,269.10041671695444,9.486230252050806
Vanuatu,mangrove,442.0976602472135,36.022156383342114
Vanuatu,marsh,359.3221486703509,10.831451599591936
Venezuela,mangrove,382.50703166428303,32.096501263035286
Venezuela,marsh,253.48428131631178,5.766408810816159
Vietnam,mangrove,262.2698896542273,21.48804573624628
Vietnam,marsh,243.2608108572461,7.8100249741222125
Yemen,mangrove,256.9429935302777,23.921966094415918
