study_id,site_id,core_id,depth_min,depth_max,radioisotope,radioactivity,error
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,0,2.5,total_pb210_activity,171.15200034230398,58.61470595347727
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,2.5,5,total_pb210_activity,156.821500313643,53.70691613117719
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,5,7.5,total_pb210_activity,172.40700034481398,59.04450786038817
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,7.5,10,total_pb210_activity,161.95683365724696,55.46562215451563
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,10,15,total_pb210_activity,142.90600028581198,48.9412520390508
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,15,20,total_pb210_activity,120.49666690765999,41.266690924095734
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,20,25,total_pb210_activity,106.22933354579199,36.38053389365742
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,30,35,total_pb210_activity,56.072333445477994,19.203183897697343
Allen_et_al_2022,Naticoke River Marsh 4,NRM_4C,50,60,total_pb210_activity,23.735500047470996,8.128735586839532
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,0,2.5,total_pb210_activity,109.147333551628,37.379866136180134
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,2.5,5,total_pb210_activity,115.992000231984,39.72397034773614
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,5,7.5,total_pb210_activity,106.39850021279699,36.43846867925033
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,7.5,10,total_pb210_activity,113.92450022784898,39.01591023415982
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,10,15,total_pb210_activity,109.69183355271699,37.56634194360083
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,15,20,total_pb210_activity,123.68866691404398,42.359860395697
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,20,25,total_pb210_activity,107.457333548248,36.80108906631606
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,30,35,total_pb210_activity,76.825500153651,26.31055489990692
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5A,50,60,total_pb210_activity,47.95700009591399,16.423912390219858
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,0,2.5,total_pb210_activity,83.858000167716,28.718986700983322
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,2.5,5,total_pb210_activity,95.85033352503399,32.82602075275845
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,5,7.5,total_pb210_activity,97.607166861881,33.42768634382722
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,7.5,10,total_pb210_activity,90.187000180374,30.886489704042344
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,10,15,total_pb210_activity,93.53100018706199,32.03171486476747
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,15,20,total_pb210_activity,91.91500018382999,31.478280696187387
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,20,25,total_pb210_activity,74.65083348263501,25.56579324235401
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,30,35,total_pb210_activity,55.30750011061499,18.941250172489625
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5B,50,60,total_pb210_activity,45.514833424363,15.587539569241724
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,0,2.5,total_pb210_activity,138.190500276381,47.32632702547444
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,2.5,5,total_pb210_activity,153.270166973207,52.490685183971685
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,5,7.5,total_pb210_activity,161.89533365712398,55.44456014871881
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,7.5,10,total_pb210_activity,140.95833361524998,48.27423144354473
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,10,15,total_pb210_activity,124.422666915512,42.611234578703055
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,15,20,total_pb210_activity,110.656333554646,37.89665583939013
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,20,25,total_pb210_activity,80.504666827676,27.570565138294445
Allen_et_al_2022,Naticoke River Marsh 5,NRM_5C,30,35,total_pb210_activity,72.691000145382,24.894605908573766
