study_id,site_id,core_id,horizon_min,horizon_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Blue_Ventures_Unpublished,BV_Unpubl_MHJ14,M1038,0,100,0.87842,0.036652,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ15,M1039,0,100,0.966,0.0442229,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ16,M1040,0,100,NA,0.0491811,0.0049783
Blue_Ventures_Unpublished,BV_Unpubl_MHJ17,M1041,0,100,0.976505,0.04223915,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,0,100,NA,0.05316435,0.01231755
Blue_Ventures_Unpublished,BV_Unpubl_MHJ19,M1043,100,200,NA,0.052546999999999996,0.011536999999999999
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,0,100,NA,0.052158949999999996,0.0122066
Blue_Ventures_Unpublished,BV_Unpubl_MHJ2,M1026,100,200,NA,0.0483,0.010743
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,0,100,0.91606,0.05371895,0.01210895
Blue_Ventures_Unpublished,BV_Unpubl_MHJ20,M1044,100,200,NA,0.045345,0.010439
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,0,100,0.82735,0.047671149999999995,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ21,M1045,100,200,0.6803,0.039124,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,0,100,NA,0.0697869,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ22,M1046,100,200,0.5388,0.067672,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,0,100,0.79589,0.0546141,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ24,M1048,100,200,NA,0.045975,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,0,100,0.79409,0.047106499999999996,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ26,M1050,100,200,0.6937,0.052749,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,0,100,NA,0.06362335,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ27,M1051,100,200,NA,0.065817,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,0,100,NA,0.13131615,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ28,M1052,100,200,NA,0.09697499999999999,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ29,M1053,0,100,0.5041450000000001,0.1297631,0.05781555
Blue_Ventures_Unpublished,BV_Unpubl_MHJ29,M1053,100,200,0.5669,0.135961,0.058811999999999996
Blue_Ventures_Unpublished,BV_Unpubl_MHJ3,M1027,0,100,0.7989999999999999,0.038609199999999996,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ30,M1054,0,100,NA,0.04452295,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ30,M1054,100,200,0.6474,0.043245,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ31,M1055,0,100,0.75777,0.06764945,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ32,M1056,0,100,NA,0.039025950000000004,0.01111485
Blue_Ventures_Unpublished,BV_Unpubl_MHJ32,M1056,100,200,NA,0.06957200000000001,0.02373
Blue_Ventures_Unpublished,BV_Unpubl_MHJ33,M1057,0,100,0.92123,0.05019765,0.0102261
Blue_Ventures_Unpublished,BV_Unpubl_MHJ33,M1057,100,200,0.7148,0.067013,0.024678
Blue_Ventures_Unpublished,BV_Unpubl_MHJ34,M1058,0,100,NA,0.0410221,0.0088408
Blue_Ventures_Unpublished,BV_Unpubl_MHJ35,M1059,0,100,NA,0.04902385,0.0148752
Blue_Ventures_Unpublished,BV_Unpubl_MHJ35,M1059,100,200,NA,0.054565,0.016091
Blue_Ventures_Unpublished,BV_Unpubl_MHJ37,M1061,0,100,NA,0.0369218,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ38,M1062,0,100,0.85553,0.042618,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ38,M1062,100,200,0.8500332653174826,0.050399,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ39,M1063,0,100,NA,0.0462039,0.00582045
Blue_Ventures_Unpublished,BV_Unpubl_MHJ39,M1063,100,200,NA,0.037624,0.006246000000000001
Blue_Ventures_Unpublished,BV_Unpubl_MHJ4,M1028,0,100,0.776815,0.040373,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ4,M1028,100,200,0.7913,0.055124000000000006,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ40,M1064,0,100,NA,0.0316978,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ40,M1064,100,200,0.7205,0.0444,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ42,M1066,0,100,0.8799626673014904,0.04325255,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ42,M1066,100,200,0.7766,0.029096,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ43,M1067,0,100,0.96285,0.04836805,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ44,M1068,0,100,NA,0.04459605,0.00814805
Blue_Ventures_Unpublished,BV_Unpubl_MHJ44,M1068,100,200,NA,0.046792999999999994,0.009713000000000001
Blue_Ventures_Unpublished,BV_Unpubl_MHJ45,M1069,0,100,0.90762,0.0501289,0.0134742
Blue_Ventures_Unpublished,BV_Unpubl_MHJ45,M1069,100,200,NA,0.049374,0.013092999999999999
Blue_Ventures_Unpublished,BV_Unpubl_MHJ46,M1070,0,100,NA,0.0845235,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ47,M1071,0,100,NA,0.11173495,0.038086800000000004
Blue_Ventures_Unpublished,BV_Unpubl_MHJ48,M1072,0,100,NA,0.09444994999999999,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ48,M1072,100,200,0.5578,0.090898,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ5,M1029,0,100,NA,0.0408825,0.00844295
Blue_Ventures_Unpublished,BV_Unpubl_MHJ5,M1029,100,200,0.9106,0.05072,0.008912
Blue_Ventures_Unpublished,BV_Unpubl_MHJ50,M1074,0,100,NA,0.12487670000000001,0.054842699999999994
Blue_Ventures_Unpublished,BV_Unpubl_MHJ6,M1030,0,100,0.815415,0.0454603,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ6,M1030,100,200,0.5069,0.09293799999999999,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ7,M1031,0,100,NA,0.04667729999999999,0.012299150000000002
Blue_Ventures_Unpublished,BV_Unpubl_MHJ7,M1031,100,200,NA,0.056575,0.015617
Blue_Ventures_Unpublished,BV_Unpubl_MHJ8,M1032,0,100,NA,0.0415555,0.0106539
Blue_Ventures_Unpublished,BV_Unpubl_MHJ9,M1033,0,100,0.858855,0.03817365,NA
Blue_Ventures_Unpublished,BV_Unpubl_MHJ9,M1033,100,200,0.7775,0.040123,NA
Breithaupt_et_al_2014,WSC-5,SH3-1,0,100,0.249755382725,0.454694381525,NA
Breithaupt_et_al_2014,WSC-5,SH3-3,0,100,0.21025641029032258,0.4026228890645161,NA
Breithaupt_et_al_2014,WSC-5,SH3-5,0,100,0.16764158410526314,0.5874866939736841,NA
Breithaupt_et_al_2014,WSC-5,SH3-8,0,100,0.2067379531875,0.56687501603125,NA
Breithaupt_et_al_2014,WSC-5,SH3-9,0,100,0.15344532860000001,0.5590128165333333,0.274003318
Breithaupt_et_al_2017,NA,TTI3,0,100,0.2076875757575758,0.47727272727272735,NA
Breithaupt_et_al_2017,NA,WSC04_1,0,100,0.1715579891388889,0.6049274147777778,0.2917249013611111
Breithaupt_et_al_2017,NA,WSC09,0,100,0.2123528425945946,0.4861299774054054,0.22024566527027029
Breithaupt_et_al_2017,NA,WSC10_1,0,100,0.6053068346857143,0.19258121831428573,0.07114736531428571
Breithaupt_et_al_2017,NA,WSC11,0,100,0.17262868564516132,0.6966049113225806,0.33017803922580646
Breithaupt_et_al_2020,SMg,WSC8A,0,100,0.1935483870967742,0.6316129032258064,NA
Brunskill_et_al_2002,GJB02 582,M1308,0,100,NA,NA,0.038485696709999996
Brunskill_et_al_2002,GJB02 582,M1308,100,200,NA,NA,0.011642967121212117
Brunskill_et_al_2002,GJB02 584,M1307,0,100,NA,NA,0.08602424318
Brunskill_et_al_2002,GJB02 584,M1307,100,200,NA,NA,0.07151058551575933
Brunskill_et_al_2004,GJB04 1,M0961,0,100,NA,NA,0.123696644295302
Brunskill_et_al_2004,GJB04 3,M0962,0,100,NA,NA,0.05495838926174497
Brunskill_et_al_2004,GJB04 4,M0963,0,100,NA,NA,0.04938723404255319
Bukoski_et_al_2017,AB1 Core 1,M1585,0,100,NA,NA,0.017087500000000002
Bukoski_et_al_2017,AB1 Core 1,M1585,100,200,0.775,NA,0.01387
Bukoski_et_al_2017,AM1 Core 1,M1586,0,100,NA,NA,0.0148975
Bukoski_et_al_2017,AM1 Core 1,M1586,100,200,0.692,NA,0.03764
Bukoski_et_al_2017,HP1 Core 1,M1572,0,100,0.98025,NA,0.0116975
Bukoski_et_al_2017,HP1 Core 1,M1572,100,200,1.343,NA,0.00619
Bukoski_et_al_2017,HP1 Core 2,M1573,0,100,0.9524999999999999,NA,0.011235
Bukoski_et_al_2017,HP1 Core 2,M1573,100,200,1.298,NA,0.00499
Bukoski_et_al_2017,HP2 Core 1,M1574,0,100,0.992,NA,0.015187500000000001
Bukoski_et_al_2017,HP2 Core 1,M1574,100,200,1.312,NA,0.00634
Bukoski_et_al_2017,HP2 Core 2,M1575,0,100,NA,NA,0.0106825
Bukoski_et_al_2017,HP2 Core 2,M1575,100,200,1.347,NA,0.0064800000000000005
Bukoski_et_al_2017,HP3 Core 1,M1576,0,100,1.005,NA,0.014225000000000002
Bukoski_et_al_2017,HP3 Core 1,M1576,100,200,1.345,NA,0.00651
Bukoski_et_al_2017,HP3 Core 2,M1577,0,100,0.9635,NA,0.014530000000000001
Bukoski_et_al_2017,HP3 Core 2,M1577,100,200,1.441,NA,0.006770000000000001
Bukoski_et_al_2017,KB1 Core 2,M1533,0,100,NA,NA,0.011675
Bukoski_et_al_2017,KB1 Core 2,M1533,100,200,1.09,NA,0.0165
Bukoski_et_al_2017,KB2 Core 1,M1534,0,100,0.705,NA,0.041999999999999996
Bukoski_et_al_2017,KB2 Core 1,M1534,100,200,0.67,NA,0.0526
Bukoski_et_al_2017,KB2 Core 2,M1535,0,100,0.7475,NA,0.042275
Bukoski_et_al_2017,KB2 Core 2,M1535,100,200,0.79,NA,0.0483
Bukoski_et_al_2017,KB3 Core 1,M1536,0,100,0.655,NA,0.0609
Bukoski_et_al_2017,KB3 Core 1,M1536,100,200,0.67,NA,0.0736
Bukoski_et_al_2017,KB3 Core 2,M1537,0,100,0.49250000000000005,NA,0.084425
Bukoski_et_al_2017,KB3 Core 2,M1537,100,200,0.58,NA,0.0706
Bukoski_et_al_2017,KB4 Core 1,M1538,0,100,NA,NA,0.021625
Bukoski_et_al_2017,KB4 Core 1,M1538,100,200,0.9,NA,0.0358
Bukoski_et_al_2017,KB4 Core 2,M1539,0,100,0.9750000000000001,NA,0.0189
Bukoski_et_al_2017,KB4 Core 2,M1539,100,200,0.95,NA,0.0219
Bukoski_et_al_2017,KB5 Core 1,M1540,0,100,0.6074999999999999,NA,0.068375
Bukoski_et_al_2017,KB5 Core 1,M1540,100,200,0.54,NA,0.0649
Bukoski_et_al_2017,KB5 Core 2,M1541,0,100,0.5575,NA,0.07535
Bukoski_et_al_2017,KB5 Core 2,M1541,100,200,NA,NA,0.028300000000000002
Bukoski_et_al_2017,KB6 Core 1,M1542,0,100,NA,NA,0.025199999999999993
Bukoski_et_al_2017,KB6 Core 1,M1542,100,200,0.81,NA,0.0279
Bukoski_et_al_2017,KB6 Core 2,M1543,0,100,NA,NA,0.01805
Bukoski_et_al_2017,KB6 Core 2,M1543,100,200,NA,NA,0.0253
Bukoski_et_al_2017,KB7 Core 1,M1544,0,100,0.64,NA,0.05104999999999999
Bukoski_et_al_2017,KB7 Core 1,M1544,100,200,0.73,NA,0.07490000000000001
Bukoski_et_al_2017,KB7 Core 2,M1545,0,100,0.7100000000000001,NA,0.048725
Bukoski_et_al_2017,KB7 Core 2,M1545,100,200,0.6,NA,0.0851
Bukoski_et_al_2017,KL3 Core 1,M1579,0,100,NA,NA,0.004936666666666666
Bukoski_et_al_2017,KL3 Core 1,M1579,100,200,1.269,NA,0.0072699999999999996
Bukoski_et_al_2017,KL3 Core 2,M1580,0,100,0.929,NA,0.013035
Bukoski_et_al_2017,KL3 Core 2,M1580,100,200,1.195,NA,0.00922
Bukoski_et_al_2017,KL5 Core 1,M1581,0,100,NA,NA,0.044434999999999995
Bukoski_et_al_2017,KL5 Core 1,M1581,100,200,0.875,NA,0.02459
Bukoski_et_al_2017,KL5 Core 2,M1582,0,100,0.8835,NA,0.019305
Bukoski_et_al_2017,KL5 Core 2,M1582,100,200,0.762,NA,0.05207
Bukoski_et_al_2017,KL8 Core 1,M1583,0,100,NA,NA,0.04056941176470588
Bukoski_et_al_2017,KL8 Core 1,M1583,100,200,0.801,NA,0.025390000000000003
Bukoski_et_al_2017,KL8 Core 2,M1584,0,100,0.71825,NA,0.02692
Bukoski_et_al_2017,KL8 Core 2,M1584,100,200,1.002,NA,0.020659999999999998
Bukoski_et_al_2017,ND Core 1,M1578,0,100,1.03775,NA,0.0152425
Bukoski_et_al_2017,ND Core 1,M1578,100,200,1.31,NA,0.0046700000000000005
Bukoski_et_al_2017,PP1 Core 1,M1546,0,100,NA,NA,0.031549999999999995
Bukoski_et_al_2017,PP1 Core 1,M1546,100,200,NA,NA,0.0060999999999999995
Bukoski_et_al_2017,PP1 Core 2,M1547,0,100,NA,NA,0.026950000000000002
Bukoski_et_al_2017,PP1 Core 2,M1547,100,200,NA,NA,0.0062
Bukoski_et_al_2017,PP2 Core 1,M1548,0,100,NA,NA,0.019400000000000004
Bukoski_et_al_2017,PP2 Core 1,M1548,100,200,NA,NA,0.009899999999999999
Bukoski_et_al_2017,PP3 Core 1,M1550,0,100,NA,NA,0.01844117647058824
Bukoski_et_al_2017,PP3 Core 1,M1550,100,200,0.85,NA,0.011000000000000001
Bukoski_et_al_2017,PP3 Core 2,M1551,0,100,NA,NA,0.019078947368421053
Bukoski_et_al_2017,PP3 Core 2,M1551,100,200,NA,NA,0.0105
Bukoski_et_al_2017,PP4 Core 1,M1552,0,100,NA,NA,0.033424999999999996
Bukoski_et_al_2017,PP4 Core 1,M1552,100,200,NA,NA,0.006500000000000001
Bukoski_et_al_2017,PP4 Core 2,M1553,0,100,NA,NA,0.026000000000000002
Bukoski_et_al_2017,PP4 Core 2,M1553,100,200,NA,NA,0.008199999999999999
Bukoski_et_al_2017,PP5 Core 1,M1554,0,100,NA,NA,0.0319
Bukoski_et_al_2017,PP5 Core 1,M1554,100,200,1.1496049338121122,NA,0.009000000000000001
Bukoski_et_al_2017,PP5 Core 2,M1555,0,100,NA,NA,0.03043157894736842
Bukoski_et_al_2017,PP5 Core 2,M1555,100,200,NA,NA,0.0098
Bukoski_et_al_2017,PP6 Core 1,M1556,0,100,NA,NA,0.01948333333333333
Bukoski_et_al_2017,PP6 Core 1,M1556,100,200,NA,NA,0.0092
Bukoski_et_al_2017,PP6 Core 2,M1557,0,100,NA,NA,0.03605
Bukoski_et_al_2017,PP6 Core 2,M1557,100,200,NA,NA,0.0089
Bukoski_et_al_2017,PP7 Core 2,M1559,0,100,NA,NA,0.041025
Bukoski_et_al_2017,PP7 Core 2,M1559,100,200,0.88,NA,0.01
Bukoski_et_al_2017,PP8 Core 1,M1560,0,100,NA,NA,0.02495
