study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min
Trettin_et_al_2017,1113,-18.845148,-18.845148,36.213549,36.213549
Trettin_et_al_2017,1130,-18.845914,-18.845914,36.306805,36.306805
Trettin_et_al_2017,1216,-18.854252,-18.854252,36.123515,36.123515
Trettin_et_al_2017,1219,-18.854268,-18.854268,36.237751,36.237751
Trettin_et_al_2017,1254,-18.860066,-18.860066,36.269428,36.269428
Trettin_et_al_2017,1285,-18.86529,-18.86529,36.141464,36.141464
Trettin_et_al_2017,13,-18.744,-18.744,36.112,36.112
Trettin_et_al_2017,1305,-18.868526,-18.868526,36.282128,36.282128
Trettin_et_al_2017,1314,-18.870943,-18.870943,36.20356,36.20356
Trettin_et_al_2017,1317,-18.871772,-18.871772,36.280204,36.280204
Trettin_et_al_2017,1359,-18.87926,-18.87926,36.152707,36.152707
Trettin_et_al_2017,1361,-18.881442,-18.881442,36.168942,36.168942
Trettin_et_al_2017,1382,-18.88302,-18.88302,36.174246,36.174246
Trettin_et_al_2017,15,-18.743,-18.743,36.119,36.119
Trettin_et_al_2017,16,-18.743,-18.743,36.128,36.128
Trettin_et_al_2017,17,-18.75,-18.75,36.115,36.115
Trettin_et_al_2017,25,-18.76,-18.76,36.144,36.144
Trettin_et_al_2017,26,-18.762,-18.762,36.139,36.139
Trettin_et_al_2017,27,-18.766,-18.766,36.15,36.15
Trettin_et_al_2017,29,-18.767,-18.767,36.151,36.151
Trettin_et_al_2017,32B,-18.746,-18.746,36.21,36.21
Trettin_et_al_2017,35,-18.747,-18.747,36.216,36.216
Trettin_et_al_2017,36,-18.746,-18.746,36.223,36.223
Trettin_et_al_2017,37,-18.752,-18.752,36.214,36.214
Trettin_et_al_2017,806,-18.808457,-18.808457,36.3035,36.3035
Trettin_et_al_2017,864,-18.818504,-18.818504,36.24601,36.24601
Trettin_et_al_2017,9001,-18.831602,-18.831602,36.264041,36.264041
Trettin_et_al_2017,9002,-18.850342,-18.850342,36.26043,36.26043
Trettin_et_al_2017,9003,-18.875474,-18.875474,36.275058,36.275058
Trettin_et_al_2017,9004,-18.833962,-18.833962,36.18594,36.18594
Trettin_et_al_2017,9005,-18.824439,-18.824439,36.218115,36.218115
Trettin_et_al_2017,9006,-18.870643,-18.870643,36.270942,36.270942
Trettin_et_al_2017,9007,-18.822449,-18.822449,36.132373,36.132373
Trettin_et_al_2017,9008,-18.812733,-18.812733,36.128404,36.128404
Trettin_et_al_2017,9009,-18.845133,-18.845133,36.118808,36.118808
Trettin_et_al_2017,9010,-18.891503,-18.891503,36.177483,36.177483
Trettin_et_al_2017,9011,-18.884576,-18.884576,36.170079,36.170079
Trettin_et_al_2017,9012,-18.895905,-18.895905,36.16247,36.16247
Trettin_et_al_2017,9013,-18.873529,-18.873529,36.21079,36.21079
Trettin_et_al_2017,9014,-18.881318,-18.881318,36.205854,36.205854
Trettin_et_al_2017,9017,-18.869369,-18.869369,36.186352,36.186352
Trettin_et_al_2017,9018,-18.865541,-18.865541,36.182005,36.182005
Trettin_et_al_2017,9019,-18.881049,-18.881049,36.185503,36.185503
Trettin_et_al_2017,9020,-18.864463,-18.864463,36.221288,36.221288
Trettin_et_al_2017,9021,-18.868706,-18.868706,36.141405,36.141405
Trettin_et_al_2017,9022,-18.84346,-18.84346,36.132076,36.132076
Trettin_et_al_2017,9023,-18.88562,-18.88562,36.152977,36.152977
Trettin_et_al_2017,9024,-18.823362,-18.823362,36.211684,36.211684
Trettin_et_al_2017,9025,-18.851282,-18.851282,36.278995,36.278995
Trettin_et_al_2017,9027,-18.860388,-18.860388,36.166532,36.166532
